Название,Год выпуска,Длительность,Жанры,Рейтинг КиноПоиск,Рейтинг IMDB,Рейтинг кинокритиков,Рейтинг российских кинокритиков,Голоса КиноПоиск,Голоса IMDB,Голоса кинокритиков,Голоса российских кинокритиков,Бюджет,Дата премьеры в России,Дата премьеры в мире,Мировые кассовые сборы
Чаплин,1992,144.0,"['драма', 'комедия', 'биография']",7.951,7.5,5.7,0.0,33248,63729,52,0,31000000.0,1992-12-16T00:00:00.000Z,1992-12-16T00:00:00.000Z,9493259.0
Легок на помине,2014,82.0,"['комедия', 'фантастика']",4.993,4.8,0.0,0.0,33237,504,0,1,840000.0,2014-02-27T00:00:00.000Z,2014-02-20T00:00:00.000Z,5418225.0
Дикая лига,2019,111.0,"['биография', 'спорт', 'история']",6.979,5.0,0.0,0.0,33235,101,0,0,112164013.0,2019-10-24T00:00:00.000Z,2019-10-24T00:00:00.000Z,53226.0
Букшоп,2017,113.0,['драма'],7.236,6.5,5.4,66.6667,33228,18046,112,3,3706000.0000000005,2018-09-27T00:00:00.000Z,2017-10-21T00:00:00.000Z,12062146.0
Снежные псы,2002,99.0,"['комедия', 'приключения', 'семейный', 'спорт']",7.11,5.2,4.1,0.0,33224,29169,85,0,33000000.0,2002-03-21T00:00:00.000Z,2002-01-18T00:00:00.000Z,115035090.0
Дом на другой стороне,2020,107.0,"['ужасы', 'детектив']",6.004,6.4,7.1,60.0,33223,71911,207,5,112164013.0,2021-09-09T00:00:00.000Z,2020-01-24T00:00:00.000Z,15437703.0
Уиджи: Доска Дьявола,2014,89.0,['ужасы'],4.874,4.5,3.2,0.0,33217,59722,89,1,5000000.0,2014-11-13T00:00:00.000Z,2014-10-23T00:00:00.000Z,103474010.0
Кобра,1986,87.0,"['боевик', 'криминал', 'приключения']",6.905,5.8,3.4,0.0,33206,81884,23,0,25000000.0,1986-05-22T00:00:00.000Z,1986-05-22T00:00:00.000Z,49042224.0
Девушка по соседству,2007,91.0,"['триллер', 'драма', 'криминал']",6.83,6.5,6.1,0.0,33152,30498,15,0,112164013.0,2007-07-19T00:00:00.000Z,2007-07-19T00:00:00.000Z,112164013.0
Джон Кью,2002,116.0,"['триллер', 'драма', 'криминал']",7.749,7.1,4.5,0.0,33151,147516,134,0,36000000.0,2002-02-15T00:00:00.000Z,2002-02-15T00:00:00.000Z,102244770.0
Грецкий орешек,2018,83.0,"['комедия', 'приключения']",6.313,0.0,0.0,0.0,33123,0,0,0,0.0,2018-11-08T00:00:00.000Z,2018-11-08T00:00:00.000Z,112164013.0
Элегия,2007,108.0,"['драма', 'мелодрама']",7.183,6.7,6.7,0.0,33116,23329,122,0,13000000.0,2008-08-07T00:00:00.000Z,2008-02-10T00:00:00.000Z,14890277.0
Магия зверя,2019,117.0,"['триллер', 'детектив', 'драма', 'криминал', 'мелодрама']",6.581,7.1,7.5,100.0,33106,8369,56,6,112164013.0,2020-08-27T00:00:00.000Z,2019-08-28T00:00:00.000Z,903797.0
Не тот сын,2018,87.0,['триллер'],6.374,5.6,0.0,0.0,33103,740,0,0,112164013.0,2018-04-19T00:00:00.000Z,2018-04-19T00:00:00.000Z,112164013.0
Бобер,2010,91.0,['драма'],6.921,6.6,6.1,75.0,33101,51356,187,8,21000000.0,2011-07-28T00:00:00.000Z,2011-03-16T00:00:00.000Z,7294800.0
Судная ночь навсегда,2021,103.0,"['ужасы', 'боевик', 'триллер', 'криминал', 'вестерн']",5.625,5.4,5.4,33.3333,33084,46003,160,3,112164013.0,2021-07-01T00:00:00.000Z,2021-06-30T00:00:00.000Z,76994245.0
Служили два товарища,1968,93.0,"['драма', 'комедия', 'военный']",8.181,7.9,0.0,0.0,33082,1241,0,0,112164013.0,1968-10-21T00:00:00.000Z,1968-10-21T00:00:00.000Z,112164013.0
Через тернии к звездам,1980,148.0,['фантастика'],7.337,6.0,0.0,0.0,33077,1509,0,0,112164013.0,1982-05-21T00:00:00.000Z,1982-05-21T00:00:00.000Z,112164013.0
Шугалей 3,2021,90.0,"['боевик', 'приключения']",6.888,0.0,0.0,0.0,33066,0,0,0,112164013.0,2021-09-02T00:00:00.000Z,2021-09-02T00:00:00.000Z,112164013.0
Резервная копия,2023,115.0,"['фантастика', 'триллер', 'драма', 'криминал', 'детектив', 'боевик']",6.285,6.2,0.0,0.0,33063,2524,0,0,112164013.0,2024-06-27T00:00:00.000Z,2023-07-03T00:00:00.000Z,890981.0
Последние рыцари,2014,115.0,"['драма', 'боевик', 'приключения']",6.26,6.2,3.3,0.0,33056,46561,31,3,40000000.0,2015-04-02T00:00:00.000Z,2015-04-03T00:00:00.000Z,1797955.0
Академия смерти,2004,115.0,"['драма', 'военный', 'спорт']",7.789,7.4,6.4,0.0,33032,18306,39,1,112164013.0,2005-05-05T00:00:00.000Z,2004-07-04T00:00:00.000Z,3764219.0
