Название,Год выпуска,Длительность,Жанры,Рейтинг КиноПоиск,Рейтинг IMDB,Рейтинг кинокритиков,Рейтинг российских кинокритиков,Голоса КиноПоиск,Голоса IMDB,Голоса кинокритиков,Голоса российских кинокритиков,Бюджет,Дата премьеры в России,Дата премьеры в мире,Мировые кассовые сборы
Аквамен,2018,143.0,"['фэнтези', 'боевик', 'приключения']",6.836,6.8,6.0,92.8571,546224,534430,412,14,160000000.0,2018-12-13T00:00:00.000Z,2018-11-26T00:00:00.000Z,1151961807.0
Семь,1995,127.0,"['триллер', 'драма', 'криминал', 'детектив']",8.299,8.6,7.7,0.0,544540,1883932,153,1,33000000.0,1995-09-15T00:00:00.000Z,1995-09-15T00:00:00.000Z,327311859.0
Огниво,2024,106.0,"['фэнтези', 'приключения', 'семейный']",7.651,5.5,0.0,33.3333,543532,208,0,6,8520000.0,2024-10-24T00:00:00.000Z,2024-10-24T00:00:00.000Z,112164013.0
Стражи Галактики. Часть 2,2017,136.0,"['фантастика', 'боевик', 'приключения', 'комедия']",7.778,7.6,7.3,95.0,543182,785928,424,20,200000000.0,2017-05-04T00:00:00.000Z,2017-04-10T00:00:00.000Z,863756051.0
Граф Монте-Кристо,2024,178.0,"['боевик', 'триллер', 'драма', 'мелодрама', 'приключения', 'история']",8.107,7.6,7.9,100.0,540209,31800,73,4,46761000.0,2024-09-19T00:00:00.000Z,2024-05-22T00:00:00.000Z,77529938.0
Гарри Поттер и Орден Феникса,2007,138.0,"['фэнтези', 'приключения', 'семейный']",7.844,7.5,6.9,0.0,540122,659406,255,0,150000000.0,2007-07-19T00:00:00.000Z,2007-06-28T00:00:00.000Z,939288805.0
Укрощение строптивого,1980,107.0,"['мелодрама', 'комедия']",8.407,7.6,0.0,0.0,538633,10320,0,0,112164013.0,1980-12-20T00:00:00.000Z,1980-12-20T00:00:00.000Z,112164013.0
Я – легенда,2007,96.0,"['ужасы', 'фантастика', 'боевик', 'триллер', 'драма']",7.87,7.2,6.3,71.4286,538564,841765,215,7,150000000.0,2008-02-07T00:00:00.000Z,2007-12-05T00:00:00.000Z,585349010.0
Черный ящик,2020,129.0,"['детектив', 'триллер']",7.604,7.2,7.3,100.0,537816,17505,18,8,112164013.0,2022-01-06T00:00:00.000Z,2021-03-05T00:00:00.000Z,9738741.0
Отряд самоубийц,2016,118.0,"['фантастика', 'боевик', 'фэнтези', 'приключения']",6.097,5.9,4.8,68.1818,536759,736928,392,22,175000000.0,2016-08-04T00:00:00.000Z,2016-08-01T00:00:00.000Z,749200054.0
Гарри Поттер и Принц-полукровка,2009,153.0,"['фэнтези', 'приключения', 'семейный']",7.84,7.6,7.1,100.0,536439,621151,278,8,250000000.0,2009-07-16T00:00:00.000Z,2009-07-06T00:00:00.000Z,934770303.0
Догмен,2023,113.0,"['драма', 'боевик']",7.732,6.8,5.5,60.0,535968,18913,71,5,112164013.0,2023-08-31T00:00:00.000Z,2023-08-31T00:00:00.000Z,4328081.0
Дурак,2014,116.0,['драма'],8.106,8.0,8.0,70.5882,531888,17246,14,17,1300000.0,2014-12-11T00:00:00.000Z,2014-08-09T00:00:00.000Z,112164013.0
Отель «Гранд Будапешт»,2014,100.0,"['комедия', 'приключения', 'детектив', 'криминал']",7.946,8.1,8.5,86.4865,531204,916992,316,37,25070000.0,2014-03-13T00:00:00.000Z,2014-02-06T00:00:00.000Z,172936941.0
День сурка,1993,101.0,"['фэнтези', 'драма', 'мелодрама', 'комедия']",8.14,8.0,7.9,0.0,530403,709605,144,0,14600000.0,1995-01-06T00:00:00.000Z,1993-02-02T00:00:00.000Z,70906973.0
Исходный код,2011,93.0,"['фантастика', 'боевик', 'триллер', 'драма']",7.774,7.5,7.5,88.8889,528536,563750,261,9,32000000.0,2011-03-31T00:00:00.000Z,2011-03-11T00:00:00.000Z,147332697.0
Список Шиндлера,1993,195.0,"['драма', 'биография', 'история', 'военный']",8.849,9.0,9.2,0.0,528116,1506026,136,1,22000000.0,1994-05-21T00:00:00.000Z,1993-11-30T00:00:00.000Z,321306305.0
Загадочная история Бенджамина Баттона,2008,166.0,"['драма', 'фэнтези']",8.07,7.8,7.2,62.5,528078,715950,256,8,150000000.0,2009-02-05T00:00:00.000Z,2008-12-10T00:00:00.000Z,333932083.0
Отпуск по обмену,2006,136.0,"['мелодрама', 'комедия']",7.855,7.0,5.7,100.0,527834,345677,160,3,85000000.0,2006-12-07T00:00:00.000Z,2006-11-29T00:00:00.000Z,205135175.0
Вторая жизнь Уве,2015,116.0,"['драма', 'мелодрама', 'комедия']",8.261,7.7,7.2,100.0,526989,71317,119,4,112164013.0,2016-06-30T00:00:00.000Z,2015-12-13T00:00:00.000Z,30692889.0
Джон Уик,2014,101.0,"['боевик', 'триллер', 'криминал']",7.013,7.4,7.0,69.2308,526365,770461,225,13,20000000.0,2015-01-01T00:00:00.000Z,2014-09-19T00:00:00.000Z,86013056.0
Дэдпул 2,2018,119.0,"['фантастика', 'боевик', 'комедия', 'приключения']",7.427,7.6,7.1,100.0,525992,702411,415,19,110000000.0,2018-05-17T00:00:00.000Z,2018-05-01T00:00:00.000Z,734546611.0
Kingsman: Секретная служба,2015,130.0,"['боевик', 'комедия', 'приключения']",7.68,7.7,6.8,100.0,525592,745272,266,11,81000000.0,2015-02-12T00:00:00.000Z,2014-12-13T00:00:00.000Z,414351546.0
Эффект бабочки,2003,113.0,"['фантастика', 'триллер', 'драма']",8.168,7.6,4.8,75.0,525015,536534,170,4,13000000.0,2004-02-12T00:00:00.000Z,2004-01-17T00:00:00.000Z,95707652.0
Темный рыцарь: Возрождение легенды,2012,165.0,"['фантастика', 'боевик', 'триллер', 'драма', 'криминал']",8.167,8.4,8.0,78.125,521791,1893312,379,32,250000000.0,2012-07-26T00:00:00.000Z,2012-07-16T00:00:00.000Z,1081041287.0
Гарри Поттер и Дары Смерти: Часть I,2010,146.0,"['фэнтези', 'приключения', 'семейный']",7.907,7.7,7.1,75.0,521488,624237,287,16,125000000.0,2010-11-19T00:00:00.000Z,2010-11-11T00:00:00.000Z,972584231.0
Игры разума,2001,135.0,"['биография', 'драма', 'мелодрама']",8.541,8.2,7.2,80.0,521129,1013960,213,5,58000000.0,2002-07-03T00:00:00.000Z,2001-12-13T00:00:00.000Z,313542341.0
Предложение,2009,108.0,"['мелодрама', 'комедия', 'драма']",7.667,6.8,5.3,80.0,516511,376663,191,5,40000000.0,2009-06-18T00:00:00.000Z,2009-06-01T00:00:00.000Z,317375031.0
Дивергент,2014,134.0,"['фантастика', 'детектив', 'боевик', 'мелодрама']",6.761,6.6,5.4,66.6667,515675,501632,236,15,85000000.0,2014-04-10T00:00:00.000Z,2014-03-18T00:00:00.000Z,288885818.0
Гордость и предубеждение,2005,129.0,"['драма', 'мелодрама']",8.144,7.8,7.7,0.0,515534,345709,179,2,28000000.0,2006-01-12T00:00:00.000Z,2005-07-25T00:00:00.000Z,120191768.0
Движение вверх,2017,133.0,"['спорт', 'драма']",7.522,6.7,0.0,85.7143,511542,5604,0,21,7082306.292,2017-12-28T00:00:00.000Z,2018-01-05T00:00:00.000Z,59884129.0
Сто лет тому вперёд,2024,142.0,"['фантастика', 'приключения', 'семейный']",7.643,6.0,0.0,55.0,509223,1141,0,20,10800000.0,2024-04-18T00:00:00.000Z,2024-04-18T00:00:00.000Z,112164013.0
Оно,2017,135.0,"['ужасы', 'фэнтези', 'драма', 'детектив']",7.3,7.3,7.3,100.0,507741,636173,387,16,35000000.0,2017-09-07T00:00:00.000Z,2017-09-05T00:00:00.000Z,702781748.0
Фантастические твари и где они обитают,2016,132.0,"['фэнтези', 'приключения', 'семейный']",7.604,7.2,6.8,100.0,506998,521571,345,25,180000000.0,2016-11-17T00:00:00.000Z,2016-11-08T00:00:00.000Z,816037575.0
Богемская рапсодия,2018,134.0,"['биография', 'музыка', 'драма']",8.018,7.9,6.1,61.1111,505905,616849,418,18,52000000.0,2018-11-01T00:00:00.000Z,2018-10-23T00:00:00.000Z,903655259.0
Славные парни,2016,115.0,"['криминал', 'комедия', 'боевик']",7.287,7.4,7.6,86.6667,505547,389392,325,15,50000000.0,2016-06-16T00:00:00.000Z,2016-05-10T00:00:00.000Z,71261763.0
Кентавр,2023,101.0,"['триллер', 'драма', 'криминал']",7.786,6.9,0.0,84.6154,504216,1640,0,13,1320000.0,2023-07-13T00:00:00.000Z,2023-07-13T00:00:00.000Z,112164013.0
В бой идут одни «старики»,1973,87.0,"['военный', 'драма', 'комедия']",8.72,8.2,0.0,0.0,502813,6034,0,0,500000.0,1974-08-12T00:00:00.000Z,1974-08-12T00:00:00.000Z,112164013.0
Вызов,2023,164.0,['драма'],7.833,6.7,0.0,72.7273,502454,2650,0,11,10869920.58,2023-04-20T00:00:00.000Z,2023-04-20T00:00:00.000Z,610660.0
Послезавтра,2004,124.0,"['фантастика', 'триллер', 'драма', 'приключения']",7.675,6.5,5.3,0.0,499867,493130,219,0,125000000.0,2004-05-27T00:00:00.000Z,2004-05-17T00:00:00.000Z,542771772.0
По соображениям совести,2016,139.0,"['биография', 'военный', 'драма', 'история']",8.228,8.1,7.3,94.1176,499453,627149,280,17,40000000.0,2016-11-17T00:00:00.000Z,2016-09-04T00:00:00.000Z,180563636.0
Жмурки,2005,111.0,"['комедия', 'криминал']",7.271,7.2,0.0,0.0,498962,9518,0,2,112164013.0,2005-05-26T00:00:00.000Z,2005-05-27T00:00:00.000Z,4180000.0
Голодные игры,2012,142.0,"['фантастика', 'боевик', 'триллер', 'приключения']",7.266,7.2,7.3,60.0,498657,1032132,314,15,78000000.0,2012-03-22T00:00:00.000Z,2012-03-12T00:00:00.000Z,694394724.0
Во всё тяжкое,2018,90.0,"['драма', 'комедия']",7.333,6.7,4.9,0.0,497433,39022,19,0,112164013.0,2019-11-07T00:00:00.000Z,2018-10-05T00:00:00.000Z,3645308.0
Бременские музыканты,2023,116.0,"['приключения', 'семейный', 'фэнтези', 'комедия']",7.336,4.6,0.0,57.1429,494580,656,0,7,13200000.0,2024-01-01T00:00:00.000Z,2024-01-01T00:00:00.000Z,112164013.0
Отступники,2006,151.0,"['триллер', 'драма', 'криминал']",8.456,8.5,8.3,60.0,494471,1471630,286,5,90000000.0,2006-10-05T00:00:00.000Z,2006-09-26T00:00:00.000Z,291465034.0
Еще по одной,2020,110.0,"['драма', 'комедия']",7.556,7.7,7.9,100.0,493808,210108,231,17,112164013.0,2020-11-12T00:00:00.000Z,2020-09-12T00:00:00.000Z,12742455.0
Последний богатырь: Корень зла,2020,121.0,"['фэнтези', 'комедия', 'приключения', 'семейный']",7.452,5.9,0.0,66.6667,493083,1627,0,9,7800000.0,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,28357398.0
Адвокат дьявола,1997,144.0,"['триллер', 'фэнтези', 'драма', 'детектив']",8.171,7.5,6.2,0.0,491617,417917,62,0,57000000.0,1997-10-13T00:00:00.000Z,1997-10-13T00:00:00.000Z,152944660.0
Три тысячи лет желаний,2022,108.0,"['фэнтези', 'драма', 'мелодрама']",7.251,6.7,6.5,76.9231,487947,67584,260,13,60000000.0,2022-09-08T00:00:00.000Z,2022-05-20T00:00:00.000Z,20282422.0
Железный человек 2,2010,124.0,"['фантастика', 'боевик', 'приключения']",7.457,6.9,6.5,100.0,486652,893958,301,8,200000000.0,2010-04-29T00:00:00.000Z,2010-04-26T00:00:00.000Z,623933331.0
Вечное сияние чистого разума,2004,108.0,"['мелодрама', 'фантастика', 'драма']",8.044,8.3,8.5,75.0,485409,1123549,256,8,20000000.0,2004-04-29T00:00:00.000Z,2004-03-09T00:00:00.000Z,72042875.0
Красотка,1990,115.0,"['мелодрама', 'комедия']",8.027,7.1,5.9,0.0,484257,381146,76,2,14000000.0,1992-05-04T00:00:00.000Z,1990-03-23T00:00:00.000Z,463406268.0
Век Адалин,2015,113.0,"['драма', 'мелодрама', 'фэнтези']",7.851,7.2,5.5,66.6667,484134,216706,171,3,25000000.0,2015-05-21T00:00:00.000Z,2015-04-08T00:00:00.000Z,65663276.0
Основатель,2016,115.0,"['биография', 'драма']",7.616,7.2,7.0,66.6667,483745,188822,245,3,25000000.0,2020-07-23T00:00:00.000Z,2016-11-24T00:00:00.000Z,24121245.0
Терминал,2004,124.0,"['драма', 'мелодрама', 'комедия']",8.123,7.4,6.3,33.3333,483388,509881,208,3,60000000.0,2004-10-14T00:00:00.000Z,2004-06-09T00:00:00.000Z,218685607.0
Веном 2,2021,96.0,"['фантастика', 'боевик', 'ужасы']",6.196,5.9,5.5,21.4286,483327,283612,282,14,110000000.0,2021-09-30T00:00:00.000Z,2021-09-14T00:00:00.000Z,506813864.0
Шан-Чи и легенда десяти колец,2021,132.0,"['фэнтези', 'боевик', 'комедия', 'приключения', 'фантастика']",7.309,7.3,7.5,83.3333,482995,458144,345,12,150000000.0,2021-09-02T00:00:00.000Z,2021-08-16T00:00:00.000Z,432243292.0
Железный человек 3,2013,130.0,"['фантастика', 'боевик', 'приключения']",7.45,7.1,7.0,86.3636,477419,923636,328,22,200000000.0,2013-05-02T00:00:00.000Z,2013-04-14T00:00:00.000Z,1214811252.0
Лёд 3,2024,134.0,"['мелодрама', 'спорт', 'мюзикл']",8.204,6.0,0.0,100.0,476223,292,0,3,7200000.0,2024-02-14T00:00:00.000Z,2024-02-14T00:00:00.000Z,112164013.0
Хоббит: Пустошь Смауга,2013,161.0,"['фэнтези', 'приключения', 'боевик']",8.031,7.8,6.8,96.875,474487,726689,251,32,225000000.0,2013-12-18T00:00:00.000Z,2013-12-02T00:00:00.000Z,959027992.0
Великий Гэтсби,2013,143.0,"['драма', 'мелодрама']",7.946,7.2,5.9,64.7059,472438,615890,305,34,105000000.0,2013-05-16T00:00:00.000Z,2013-05-01T00:00:00.000Z,353641895.0
Бегущий по лезвию 2049,2017,164.0,"['фантастика', 'боевик', 'триллер', 'драма']",7.81,8.0,8.3,72.0,471450,703457,440,25,150000000.0,2017-10-05T00:00:00.000Z,2017-10-03T00:00:00.000Z,276599957.0
Огонь,2020,131.0,"['драма', 'боевик']",7.963,6.5,0.0,100.0,470431,1811,0,4,6600000.0,2020-12-24T00:00:00.000Z,2020-12-25T00:00:00.000Z,12916151.0
Добро пожаловать в семью,2021,120.0,"['комедия', 'криминал', 'мелодрама']",7.457,0.0,0.0,0.0,470293,0,0,2,112164013.0,2022-04-14T00:00:00.000Z,2022-04-14T00:00:00.000Z,112164013.0
Игра,1997,129.0,"['триллер', 'драма', 'детектив', 'приключения']",8.256,7.7,7.4,0.0,467742,447783,66,1,50000000.0,1998-01-24T00:00:00.000Z,1997-09-03T00:00:00.000Z,109423648.0
Ворошиловский стрелок,1999,95.0,"['драма', 'криминал']",7.947,7.4,0.0,0.0,461784,5217,0,1,112164013.0,1999-04-21T00:00:00.000Z,2000-02-14T00:00:00.000Z,112164013.0
"Я, робот",2004,115.0,"['фантастика', 'боевик', 'триллер', 'детектив']",7.83,7.1,6.0,0.0,460605,591952,222,0,120000000.0,2004-08-05T00:00:00.000Z,2004-07-07T00:00:00.000Z,347198023.0
Тор,2011,115.0,"['фантастика', 'боевик', 'фэнтези', 'приключения']",7.092,7.0,6.7,80.0,460545,925239,293,10,150000000.0,2011-04-28T00:00:00.000Z,2011-04-17T00:00:00.000Z,449326618.0
День курка,2019,100.0,"['фантастика', 'боевик']",7.176,6.8,6.5,80.0,458682,82692,87,10,45000000.0,2021-03-11T00:00:00.000Z,2020-02-11T00:00:00.000Z,1753823.0
Иллюзия обмана 2,2016,129.0,"['боевик', 'триллер', 'комедия', 'криминал', 'детектив', 'приключения']",6.757,6.4,4.9,54.5455,457659,334043,197,11,90000000.0,2016-06-09T00:00:00.000Z,2016-06-02T00:00:00.000Z,334897606.0
Пассажиры,2016,116.0,"['фантастика', 'триллер', 'драма', 'мелодрама']",7.238,7.0,5.0,57.8947,457403,469064,287,19,110000000.0,2016-12-22T00:00:00.000Z,2016-12-14T00:00:00.000Z,303144152.0
Король говорит!,2010,118.0,"['драма', 'биография', 'история']",8.046,8.0,8.6,75.0,457069,718518,302,8,15000000.0,2011-02-24T00:00:00.000Z,2010-09-06T00:00:00.000Z,410867243.0
12 лет рабства,2013,133.0,"['драма', 'биография', 'история']",7.893,8.1,8.9,88.8889,456909,759019,377,27,20000000.0,2013-12-12T00:00:00.000Z,2013-08-30T00:00:00.000Z,187733202.0
Семь жизней,2008,118.0,"['драма', 'мелодрама']",8.207,7.6,4.6,33.3333,455736,319793,191,6,55000000.0,2009-01-15T00:00:00.000Z,2008-12-19T00:00:00.000Z,168168201.0
Назад в будущее 2,1989,108.0,"['фантастика', 'приключения', 'боевик', 'комедия', 'семейный']",8.316,7.8,6.3,0.0,454624,592188,65,0,40000000.0,1989-11-20T00:00:00.000Z,1989-11-20T00:00:00.000Z,331950002.0
"Три билборда на границе Эббинга, Миссури",2017,115.0,"['драма', 'криминал']",8.139,8.1,8.4,96.0,454322,575324,411,25,15000000.0,2018-02-01T00:00:00.000Z,2017-09-04T00:00:00.000Z,160060063.0
Мстители: Эра Альтрона,2015,141.0,"['фантастика', 'боевик', 'приключения']",7.257,7.3,6.8,80.9524,453482,950434,376,21,250000000.0,2015-04-23T00:00:00.000Z,2015-04-13T00:00:00.000Z,1402805868.0
