name,type,year,movieLength,genres,rating.kp,rating.imdb,rating.filmCritics,rating.russianFilmCritics,rating.await,votes.kp,votes.imdb,votes.filmCritics,votes.russianFilmCritics,votes.await,budget.currency,budget.value,premiere.country,premiere.digital,premiere.cinema,premiere.bluray,premiere.dvd,premiere.russia,premiere.world,fees.russia.value,fees.russia.currency,fees.usa.value,fees.usa.currency,fees.world.value,fees.world.currency,distributors.distributor,distributors.distributorRelease,fees.russia,fees.usa,fees.world
Гладиатор II,movie,2024,148.0,"[{'name': 'боевик'}, {'name': 'драма'}, {'name': 'приключения'}, {'name': 'история'}]",6.209,6.6,6.6,75.0,,61173,213215,389,12,0,$,250000000.0,,,,,,,2024-11-05T00:00:00.000Z,,,172438016.0,$,462180717.0,$,,,,,
Гость,movie,2013,95.0,"[{'name': 'триллер'}, {'name': 'боевик'}]",6.611,6.7,7.6,100.0,,61170,110759,121,5,0,$,5000000.0,,,,,2015-03-10T00:00:00.000Z,2015-02-05T00:00:00.000Z,2014-01-17T00:00:00.000Z,,,332890.0,$,2700051.0,$,,,,,
Бой с тенью 3D: Последний раунд,movie,2011,125.0,"[{'name': 'боевик'}, {'name': 'драма'}, {'name': 'криминал'}, {'name': 'приключения'}]",6.367,5.7,0.0,100.0,,61149,802,0,4,0,$,5000000.0,,,,2012-02-02T00:00:00.000Z,2011-12-22T00:00:00.000Z,2011-11-17T00:00:00.000Z,2011-11-24T00:00:00.000Z,13645556.0,$,,,14386840.0,$,,,,,
На гребне волны,movie,2015,114.0,"[{'name': 'боевик'}, {'name': 'триллер'}, {'name': 'криминал'}, {'name': 'приключения'}, {'name': 'спорт'}]",6.711,5.3,3.6,60.0,,61127,67418,114,5,0,$,105000000.0,,2016-03-16T00:00:00.000Z,,,,2015-12-24T00:00:00.000Z,2015-12-01T00:00:00.000Z,5049168.0,$,28782481.0,$,133782481.0,$,Каро-Премьер,,,,
Соник 2 в кино,movie,2022,122.0,"[{'name': 'фантастика'}, {'name': 'фэнтези'}, {'name': 'боевик'}, {'name': 'комедия'}, {'name': 'приключения'}, {'name': 'семейный'}]",6.443,6.5,6.0,0.0,,61076,103953,182,2,0,$,110000000.0,,,,,,,2022-03-27T00:00:00.000Z,,,190872904.0,$,405421518.0,$,Централ Партнершип,,,,
Горизонт в огне,movie,2022,135.0,"[{'name': 'драма'}, {'name': 'история'}]",7.473,6.6,0.0,0.0,,61073,1287,0,0,0,,,,2023-05-01T00:00:00.000Z,,,,,2022-09-24T00:00:00.000Z,,,,,5563604.0,$,,,,,
14+ Продолжение,movie,2023,133.0,[{'name': 'мелодрама'}],5.545,3.2,0.0,0.0,,61054,205,0,0,0,,,,,,,,2023-05-11T00:00:00.000Z,,1096825.0,$,,,955954.0,$,,,,,
Видок: Охотник на призраков,movie,2018,120.0,"[{'name': 'триллер'}, {'name': 'криминал'}, {'name': 'приключения'}, {'name': 'история'}]",6.673,6.3,6.4,0.0,,60928,6367,10,0,0,,,,2019-08-23T00:00:00.000Z,,,,2019-07-25T00:00:00.000Z,2018-11-03T00:00:00.000Z,684696.0,$,,,7611035.0,$,,,,,
Любовь и прочие неприятности,movie,2006,97.0,"[{'name': 'мелодрама'}, {'name': 'комедия'}]",6.42,5.7,4.6,0.0,,60850,90830,150,1,0,$,50000000.0,,,,,2010-11-09T00:00:00.000Z,2006-03-07T00:00:00.000Z,2006-03-10T00:00:00.000Z,1400000.0,$,88715192.0,$,128406887.0,$,UIP,Юниверсал Пикчерс Рус,,,
Оставь мир позади,movie,2023,140.0,"[{'name': 'триллер'}, {'name': 'драма'}, {'name': 'фантастика'}]",6.58,6.4,6.7,50.0,,60824,226466,159,4,0,,,,2023-12-08T00:00:00.000Z,,,,,2023-10-25T00:00:00.000Z,,,,,,,,,,,
Бишарашки,movie,2022,90.0,[{'name': 'комедия'}],7.013,6.5,0.0,0.0,,60820,30,0,0,0,,,,,,,,,2022-07-14T00:00:00.000Z,,,,,,,,,,,
